kst,precip_mm_100,tmp_min_100,tmp_max_100,tmp_avg_100,precip_mm_105,tmp_min_105,tmp_max_105,tmp_avg_105
5/28/1977,,11.3,22.4,16.5,,13.2,20.4,16.8
5/29/1977,0.1,10.2,20,15.2,0,14.3,18.6,16.4
5/30/1977,1,9.2,16.2,12,3.9,14.1,16.4,15
5/31/1977,0.1,10,18.6,14.3,0,13.7,17.2,15.4
6/1/1977,27.8,9.8,16.8,14.9,29.6,13,14.9,14
6/2/1977,8.4,8,20,14.8,12.2,13.2,26.5,18.2
6/3/1977,,10.6,21.3,16.1,,18.7,27.4,23.2
6/4/1977,,9,23.9,16.2,,16.4,27.7,22.1
6/5/1977,,9.5,23.8,17.3,,19.4,28.3,22.9
6/6/1977,,4.2,23.8,15.6,,17.3,28.8,23.3
6/7/1977,0.7,8.8,23,15.9,1.5,18,29.2,22.7
6/8/1977,,5.1,24.6,16.4,,17.2,29.9,23.7
6/9/1977,,8,24.9,18,,18.4,26,21.4
6/10/1977,0.7,13.2,19,15.7,1.6,16.4,19,17.2
6/11/1977,0.1,11,21.9,16.2,,16.4,27.3,21.6
6/12/1977,,5.9,24.5,17.2,,16,27.4,21.6
6/13/1977,3.3,9.5,20.7,13.6,4.3,14.9,18.5,15.9
6/14/1977,1.6,7.6,17.3,10.8,3.8,12.9,18.3,15.5
6/15/1977,,6.4,19.4,12.9,,13,19.9,16.6
6/16/1977,,4.8,16.2,11.1,,14,21.2,17
6/17/1977,0,5.9,15.9,11,,13.3,19.8,16.9
6/18/1977,2.4,5.9,14.4,9.8,0,14,19.5,16.2
6/19/1977,0,3,13.6,9.1,,12,19.5,16.2
6/20/1977,,7.5,18.1,13.4,,15.1,22.2,18.2
6/21/1977,0,9.8,19.5,13.5,0,16.6,22.7,18.9
6/22/1977,0,5.3,16.6,11.8,,15.1,19.9,18
6/23/1977,0,10.3,21.3,15.1,0,16.2,19.5,17.8
6/24/1977,2.2,9.2,15,13.5,0.8,16.4,19.2,17.9
6/25/1977,0,6.5,23.2,15.6,,15.7,23,19
6/26/1977,,9.4,25.7,18.3,,16.8,25.8,20.1
6/27/1977,,10.3,25.8,19.7,,16.4,25,19.9
6/28/1977,0,11,23.3,16.9,0,17.8,20.8,18.9
6/29/1977,7.7,14.3,26.1,21.2,7.3,18.2,23,19.9
6/30/1977,13.5,17.1,21.3,19.1,9.7,19,21.2,19.4
7/1/1977,1.8,18,26.6,21.5,2.1,18,25,20.7
7/2/1977,,16.9,27.1,21.6,,23.8,33.4,28.3
7/3/1977,0.9,15.5,29.6,22.3,0.6,19.4,26.2,22.7
7/4/1977,14.2,18.8,25.2,21.2,13.3,19.6,22.8,20.8
7/5/1977,1.8,15.3,21.8,18.1,6.2,19,23.2,20.3
7/6/1977,0,16.3,26.4,20.5,,19.5,24.7,21.8
7/7/1977,3.6,18,23.3,19.9,5.5,20.8,25.5,22.8
7/8/1977,8.7,18.2,24.2,20.3,3.4,21.7,27,23.3
7/9/1977,9.5,20.6,24.5,21.7,2.2,21.2,24.6,22.8
7/10/1977,,18.1,25.2,21.1,,23.6,33,28.1
7/11/1977,,16.5,26.1,20.4,,22.7,30.4,26.3
7/12/1977,50,14.1,18.9,17.3,39.4,17.2,25.6,21.5
7/13/1977,8.7,14,22.6,18.9,9.8,18.2,28,22.6
7/14/1977,,13.2,25.3,19.9,,22.1,29.5,25.9
7/15/1977,,15.5,27.8,22.6,,21.6,27.1,24.8
7/16/1977,0,18.1,26.8,22.4,,23.1,31.7,28.1
7/17/1977,7.9,16.9,25.2,19.4,19.1,21.2,27.3,22.9
7/18/1977,2.7,16.7,20.3,17.7,16.7,21,23.4,22.1
7/19/1977,0.5,15,22,18.2,1.4,20.4,25.9,22.4
7/20/1977,,17.6,25.9,21.4,,19.8,29,24.5
7/21/1977,,15.9,29.3,22,,22.9,33.8,28
7/22/1977,17.3,17.5,27.8,22.6,0.7,24.3,31,27.8
7/23/1977,0,19.4,28.5,23,6.8,23.5,31.6,27.6
7/24/1977,,20.2,28.6,23.7,,25.2,35.6,30.3
7/25/1977,0,20.8,28.4,23.6,,24.6,35.5,30.1
7/26/1977,0,18.2,27.5,22.9,,24.8,33.6,29.6
7/27/1977,0,18.1,29.1,22.8,,23.4,30.4,26.8
7/28/1977,,17.7,29.2,23.6,,25.1,35,29.9
7/29/1977,,17.2,30.3,23.4,,26.5,36.5,30.6
7/30/1977,,20.1,31.9,25.4,,26.3,37,31.3
7/31/1977,,18.9,32,24.6,,26.9,37.9,31.6
8/1/1977,,15.8,29.9,23.4,,25,34.6,29.9
8/2/1977,0.1,19.3,27.4,22.8,,27.5,35.5,30.2
8/3/1977,0,17.2,28.1,23.5,,25.3,33.4,29.5
8/4/1977,4.2,16.9,25.1,22,0.5,23.6,33.3,26.2
8/5/1977,,14.2,22,17.8,,20.2,25.9,22.8
8/6/1977,16.9,15.3,19,17.1,9.6,20.5,24,21.7
8/7/1977,89.5,16.2,22.4,19.4,53.1,20.4,25.4,22.6
8/8/1977,2.5,17.5,24.2,19.8,2.7,22.4,26.6,23.8
8/9/1977,1.5,13,23.5,19.1,,20.1,27.3,24.2
8/10/1977,1.8,15,25.5,19.6,0.6,21.6,31,25.1
8/11/1977,,13.1,25.4,19.3,,21.9,30.8,26.1
8/12/1977,,14.2,25.1,18.9,,21.6,28.4,24
8/13/1977,,9.5,21.8,16,,17.8,26.4,21.9
8/14/1977,,5.4,21.2,15.1,,16,25.8,21.1
8/15/1977,15.9,12.7,18.4,16.1,9.7,18.7,25.4,21.5
8/16/1977,20.7,12.9,16.6,15.2,18.9,17.7,21.2,19.7
8/17/1977,0.3,13.4,18.2,15.3,0,19.1,24,21.1
8/18/1977,0,12.7,17.1,15.2,0,18.4,24.3,21
8/19/1977,,9.8,20.3,15.5,,18.1,25.7,21.1
8/20/1977,,6.2,21.6,14.8,,15.8,26.9,21.1
8/21/1977,,6.8,20.5,15.5,,15.4,26,20.8
8/22/1977,0.1,14.2,19.6,16.1,0.9,17.8,25,21
8/23/1977,0.3,13.3,17.2,15.4,,19.8,24.8,22.1
8/24/1977,31,13.2,15.9,14.7,8.7,20,23,21.4
8/25/1977,33.2,13.6,17,15.7,33.8,18.7,22.8,20.6
8/26/1977,,6.9,19.4,14.8,,16.7,23.8,20.4
8/27/1977,,3.3,20.4,12.7,,15.1,24.8,20
8/28/1977,,5,21.2,13.5,,15.5,25.3,20.5
8/29/1977,,7.2,21.8,15,,16.8,26.4,21.2
8/30/1977,,8.2,23.7,16.8,,16.7,28.5,22.4
8/31/1977,5,12.4,24.8,16.7,0.1,19.2,26.8,22
9/1/1977,10.2,15.8,22.9,18.9,10.4,20.5,25.1,22.6
9/2/1977,6.9,16.5,23.8,19.2,6.6,21.2,27.8,23.4
9/3/1977,6.5,15.9,25.9,20.3,1.3,21.4,28.5,24.7
9/4/1977,,13.4,23.7,18.9,,19.7,28.2,23.8
9/5/1977,,11.5,25.4,18.7,,18.5,31.7,24.1
9/6/1977,6.7,17,23.4,19.5,2.4,20.8,26.9,24.6
9/7/1977,4.4,13.1,19.2,17.1,6.6,18.8,24.4,21.1
9/8/1977,30.4,14,17.5,15.8,14.1,19.1,23.3,21.6
9/9/1977,2.9,13.1,17.4,14.7,1.8,19.3,23.3,21.6
9/10/1977,8.7,15,18.5,17.3,23.2,19.3,21.3,20.7
9/11/1977,15.5,15.4,19.6,17.5,34.6,20,21.8,20.8
9/12/1977,44.3,12.5,18.1,14.4,43.9,17,20.2,18.2
9/13/1977,4.4,13.3,15.7,14.1,3.5,16.9,20.5,18
9/14/1977,0,11.3,19.6,16.5,0.6,16.3,22.2,19.2
9/15/1977,0,7.8,18.4,13,,15.2,24.2,19.5
9/16/1977,,6,18.1,12.8,,13.5,24,18.3
9/17/1977,,6.2,20.4,13.9,,14,25,19.4
9/18/1977,,11.9,22.5,15.1,,16.9,26,20.5
9/19/1977,,13,23.7,17.3,,17.8,26.2,20.9
9/20/1977,,10.3,20.9,14.8,0,16.3,24.4,19.9
9/21/1977,,0.4,13.8,8.6,,10,19.1,15.5
9/22/1977,,-2.1,19.8,8.4,,8.8,24.6,16.4
9/23/1977,,2.5,21.4,10.7,,12.3,25.7,18.1
9/24/1977,,3.6,21.2,12,,13.8,23.9,18.6
9/25/1977,,1,25.2,13.3,,11.6,26.6,19.1
9/26/1977,,6.6,23.9,14.2,,15.5,29,21.1
9/27/1977,,3.7,18.8,10.9,,14.5,24.8,18.8
9/28/1977,,7.4,20.8,14.4,,15.2,26.1,20.5
9/29/1977,,6,22.2,14.3,,15.8,27.6,20.7
9/30/1977,,4,25.8,13.3,,14.6,26.1,19.9
10/1/1977,0,12.4,21.1,16.1,,18.5,26.4,21.6
10/2/1977,0,11.9,19,16,0,17.9,22.5,20.3
10/3/1977,,7.3,21.7,13.2,,15.3,26.2,19.8
10/4/1977,,4.4,20.3,12.3,,15.3,26.2,19.5
10/5/1977,,6.5,23.6,15.4,,14.9,26.2,20.8
10/6/1977,6.9,8.7,16.8,12.8,17.9,14.2,22.5,18.3
10/7/1977,19.1,8.4,11.3,9.7,14.2,13.5,15.7,14.4
10/8/1977,,4.3,16.2,9.8,1.1,12.1,21.4,15.9
10/9/1977,,1.4,19.2,10,,12.6,24.1,17.5
10/10/1977,7.1,3.6,12.3,7.8,28.6,9.7,17.3,13.2
10/11/1977,,0,12.9,5.9,,7.8,18.9,12.6
10/12/1977,,-0.8,18.5,9.6,,9,22.9,15.7
10/13/1977,,0.1,18.5,7.7,,10.7,22.6,16
10/14/1977,,-1.4,22.5,9.2,,9.1,27,17.8
10/15/1977,6.2,6.2,18,12.4,3.6,14.9,24.5,20
10/16/1977,,-1.7,17.1,6.6,,8.1,17.7,13
10/17/1977,,-3.5,14.8,4.4,,7.7,18.3,13.1
10/18/1977,,-3.8,17.8,5.2,,8.8,21.5,15
10/19/1977,,-3.5,15.4,5.5,,9.6,21.4,14.9
10/20/1977,,-1.4,18.6,7.5,,8.6,23.9,16.2
10/21/1977,,-0.7,21.3,8.5,,14,26.7,18.8
10/22/1977,,-1,22,9.4,,13.9,26.9,19.3
10/23/1977,,1.9,19.2,12.5,,15.2,26.5,19.9
10/24/1977,4.3,1.4,11.9,7.8,2.2,12.7,17.5,14.7
10/25/1977,0.1,5.1,18.4,10.6,,11.2,20.6,15.3
10/26/1977,0.2,6.7,13.1,10.2,1.4,14.4,20.2,16.4
10/27/1977,,5.2,18.7,11.8,,12.5,20,15.9
10/28/1977,,2.8,18.9,9.3,,11.5,19.9,15.5
10/29/1977,,2.6,19.9,11.9,,12,19.6,15.2
10/30/1977,2.1,10.3,18.2,15.2,0,19,26,22.3
10/31/1977,0.1,8.4,14.7,10,,13.7,19.1,16.8
11/1/1977,6.6,4.2,9.9,7.2,4.4,9.6,14.2,12.5
11/2/1977,33.8,2.7,8.9,4.2,32.2,8,13.2,9.7
11/3/1977,0.9,2.7,6.4,4.2,,8,12.9,10.4
11/4/1977,,2,14.5,6.7,,8.8,17.2,11.7
11/5/1977,,4.2,15.8,9.8,,7.6,19.1,13.7
11/6/1977,4.5,6.4,9.9,7.8,2.4,11.3,15.1,12.9
11/7/1977,28.7,2.6,7.7,5.8,18.8,9.6,12.3,11.3
11/8/1977,72.2,2.3,5.6,4,64.3,5.4,11.2,9.2
11/9/1977,,-0.8,5.7,1.9,,4.7,14.1,9.5
11/10/1977,,-5.2,5.9,-0.8,,2.3,11.8,6.5
11/11/1977,0,-9.9,3.8,-2.3,,1.2,9.3,5.3
11/12/1977,0.5,0.5,4.9,2.6,0,5.6,11,8
11/13/1977,,-1.2,11.2,4.3,,6.5,18,10.9
11/14/1977,,-5.2,10.7,1.1,,5,13.7,9.2
11/15/1977,,-7.2,11.9,0.2,,5,14.5,8.6
11/16/1977,10.7,-2.1,8.1,4.3,12.7,5.6,11.5,8.8
11/17/1977,7.1,3.8,9,6,15.4,7.4,13.8,10.5
11/18/1977,3,0.8,8.1,2.8,0,6.4,16.2,9.7
11/19/1977,0.3,-1.5,1.8,0.2,,5.5,9.8,7.8
11/20/1977,0,-1.8,5.4,1.1,,5.1,13.5,8.2
11/21/1977,4.2,-2,6.5,2.4,1.7,5.8,14.4,9.9
11/22/1977,,-7.4,-0.8,-3.3,,-0.2,6.2,4
11/23/1977,,-9.6,0.4,-4.9,,-1.6,8.2,3
11/24/1977,0.2,-3.5,4.4,1.4,,4.4,11.8,9.2
11/25/1977,,1.6,10.7,4.3,,6.2,15.2,10.6
11/26/1977,,0.9,13,5.3,0,6.3,14.3,9.5
11/27/1977,0.2,-6.6,6.3,2,,1.3,12.6,8.7
11/28/1977,,-11.1,-1.5,-6.5,,-1.9,7.1,1.6
11/29/1977,1.6,-9.4,0.1,-3.5,0,-0.3,8.8,4.1
11/30/1977,,-12.1,-1,-7.2,,-1.9,7.1,1.4
12/1/1977,5.9,-14.6,-2.4,-7.1,0.4,-0.5,6.7,2.7
12/2/1977,0,-7.3,-1.6,-4.8,,0.2,6.7,2.9
12/3/1977,,-3.2,4.6,1.2,,3.2,13.1,8.8
12/4/1977,,2.2,5.7,3.7,,7.7,15,10.9
12/5/1977,,-0.4,10.2,4.1,,5,13.8,8.7
12/6/1977,0,-4.2,2.9,0.2,0,4.6,9.6,7.3
12/7/1977,0,-1.2,6.8,1.9,,4.5,12.8,8.7
12/8/1977,0.1,-2.8,2.2,0.4,,5.7,10.1,7.8
12/9/1977,,-6,4,-0.9,,1.6,11,5.4
12/10/1977,0,-10.2,7.6,-0.1,,1,13.3,7.2
12/11/1977,,-2,8.2,1.4,,4.1,10.7,8
12/12/1977,,-6.2,8.4,0.4,,2.8,12.3,6.8
12/13/1977,,-2.1,7.9,3.3,,6,14,9.1
12/14/1977,,-7.7,7.7,-0.2,,4.2,14.4,8.3
12/15/1977,,-7.9,11.9,-0.1,,4.1,17,8.9
12/16/1977,7.9,0.9,9.4,6.4,2,3.6,13.3,8.1
12/17/1977,0,-3.7,4.3,-0.9,,3.9,11.6,6.5
12/18/1977,0,-5.5,1.4,-1.8,,1.7,7.9,5.2
12/19/1977,,-11,-0.7,-6.2,,-2.5,5.7,1
12/20/1977,0.6,-9.7,-2,-5.5,,-1,7.8,3
12/21/1977,,-15.6,-1,-9.6,,-3,3.8,-0.3
12/22/1977,,-15.7,1.9,-8.3,,-3.2,6.8,0.8
12/23/1977,,-15.4,3.9,-6.9,,-2.5,7.8,1.4
12/24/1977,0,-6.5,1,-3.3,,1.2,8.8,5.2
12/25/1977,0,-13.7,-5.8,-9.8,,-5,1.6,-1.6
12/26/1977,,-15.5,-2.1,-9.9,,-5.3,7.4,-0.1
12/27/1977,,-14.2,0.3,-7.1,,-0.7,7.6,2.2
12/28/1977,,-16.4,3.1,-7,,-1.7,11,3.8
12/29/1977,9.3,-5.7,4,0.4,6.8,3.9,10.6,6.1
12/30/1977,4.1,-9.4,1.3,-1.6,2,0.8,5,3.6
12/31/1977,8.4,-1.1,2,0.6,10.6,3.8,5.7,4.4
1/1/1978,23.9,-5.7,-0.6,-3.2,27.5,-0.5,4,1.3
1/2/1978,9.7,-8.7,-2.1,-6,25.4,-1.6,1.8,0
1/3/1978,0.5,-12.1,-4,-9.6,,-3.8,0.8,-1.9
1/4/1978,,-12.9,-7,-10.1,,-4.9,1.9,-2.4
1/5/1978,4.5,-14,-5.1,-8.3,,-5,3.2,-0.7
1/6/1978,,-7.5,-0.4,-2.2,,0.7,7.1,4.6
1/7/1978,,-4,1.9,-1.8,,3.1,9.5,5.5
1/8/1978,1.1,-6.4,-0.7,-3.3,,2.5,7.5,4.4
1/9/1978,0.7,-13.7,-1.8,-10.1,,-6.2,3.8,-2.1
1/10/1978,,-17.1,-4.7,-11.9,,-8,4.2,-3.1
1/11/1978,0.3,-12.5,-2.5,-5.4,,-2.4,5.8,2.5
1/12/1978,,-12,2.9,-3.4,,0.1,10.1,3.7
1/13/1978,,-16.6,1.7,-3.6,,-0.7,8.1,3.5
1/14/1978,,-8.3,2.6,-2.6,,-1,11.1,6.3
1/15/1978,,-15.4,-0.6,-4.6,,-3.6,7.4,3.9
1/16/1978,0.3,-19.3,-6.9,-13.5,,-6.4,0.7,-3.6
1/17/1978,,-22.1,-2.3,-12.8,,-5.6,7.4,-0.5
1/18/1978,0.3,-11.3,-6.3,,0,-2.6,2.8,-0.7
1/19/1978,,-12.5,-5.3,,,-3.1,3.5,-0.8
1/20/1978,7.1,-13.2,-2.1,-7.2,1.6,-4,6.5,0.1
1/21/1978,1.1,-14.7,-7.8,-11.7,,-6.2,-0.7,-3.4
1/22/1978,,-18.1,-4.1,-10.5,,-6.7,6.2,-1.5
1/23/1978,,-16.2,1.9,-5.9,,-0.9,10.6,4.3
1/24/1978,0.4,-7.6,0.2,-3.4,2.4,-0.3,4.6,2.9
1/25/1978,,-9.2,2.7,-3.6,,-1.6,10.5,3.7
1/26/1978,2.9,-5.3,3.2,-2.2,0.3,0.6,11.3,4.6
1/27/1978,0.4,-8.9,-1.5,-5.7,,-0.9,5.2,1.9
1/28/1978,1.6,-16.3,-3.5,-8.8,19.3,-3.1,2.3,-1.2
1/29/1978,0.4,-10.6,-2,-6.2,3.3,-3,4.1,-0.2
1/30/1978,,-17.3,-7,-11.7,,-9.6,-0.2,-3.9
1/31/1978,0.8,-19.4,-10.2,-14.9,,-12,-0.5,-7.1
2/1/1978,,-21.6,-13.3,-17.2,,-13.6,-4.9,-9.3
2/2/1978,0.1,-19.7,-9.4,-14.4,,-12.6,-1,-6.5
2/3/1978,,-18.5,-6.8,-13.1,,-9.8,2.8,-4.9
2/4/1978,0.9,-15.4,-3.2,-8,,-5.5,4.8,-0.5
2/5/1978,,,1.8,-4.3,,0,6.8,2.5
2/6/1978,,-4.2,2.1,-2.4,,0.3,5.8,3
2/7/1978,,-7.5,0.6,-4.1,,-1.1,4.3,2.2
2/8/1978,2.9,-11.7,-0.5,-6.9,0,-1.5,4.7,0.9
2/9/1978,10.9,-8.7,0.4,-3.1,10.5,-0.8,2.1,1.3
2/10/1978,14.9,-5.2,-0.9,-3.3,37.9,-0.4,2,0.6
2/11/1978,0.4,-10.3,0.2,-5.5,,-1.8,4.8,0.8
2/12/1978,,-11.6,-3.1,-6,,-2,5.3,1
2/13/1978,,-14.3,-3.5,-9.2,,-5.4,2.2,-1.7
2/14/1978,0.2,-19.7,-8.5,-12,,,0.1,-3.9
2/15/1978,,-27.6,-9.2,-18.1,,-11.4,-1.1,-7
2/16/1978,,-26.7,-5,-15.7,,-9.3,0.3,-4.8
2/17/1978,7.7,-16.4,-6.8,-12.2,11.5,-7.1,0.7,-4.3
2/18/1978,,-25,-5.2,-13,0.7,-9.5,2.2,-3.9
2/19/1978,3,-11.5,-6.2,-8.1,0,-3.4,3.2,-0.4
2/20/1978,1,-12.7,-4.3,-7.8,,-4.7,4,-0.2
2/21/1978,0.2,-9.1,-1.2,-5.4,,-3.3,7,2.2
2/22/1978,,-13.5,-0.4,-5.4,,-2.1,8.1,2.7
2/23/1978,0.6,-9.5,-1.4,-5.2,0,-0.9,3.7,1.7
2/24/1978,0,-13.2,3.7,-4.2,0.4,-2.1,6.8,2.2
2/25/1978,2.7,-10.6,-3.2,-5.1,16.6,-4.2,2.7,0.5
2/26/1978,,-7.9,1.2,-3.4,,-5.5,8.7,3.2
2/27/1978,2.2,,6.3,-0.3,1.2,2.7,11.2,6.4
2/28/1978,34.1,-9.3,1.8,-4,27.2,-4.4,9.4,1
3/1/1978,0.5,-16.7,-4.6,-8.8,,-6.2,4.3,-1.3
3/2/1978,0,-10.5,3.3,-3.8,0,-0.5,10.9,4.8
3/3/1978,7,-1.7,3.3,1.2,3.9,4.3,8.1,6.1
3/4/1978,,-8.4,2.2,-1.9,,0,7.7,4.2
3/5/1978,,-14.1,2.9,-6,,-0.2,9.2,3.5
3/6/1978,,-11.3,9.3,-2.6,,0.1,15.6,7.6
3/7/1978,0.1,-7.7,4.6,-2,,2.2,12.2,6.7
3/8/1978,0.5,-2.5,2,-0.3,0,3.9,8,5.8
3/9/1978,30.1,-1.6,1.6,0.1,52.8,3.5,7.5,5.4
3/10/1978,9,-10.4,0.9,-4.5,0.8,-2.6,6.8,3.1
3/11/1978,0,-13.6,-3.4,-8.7,,-3.5,6.4,0.3
3/12/1978,,-17.5,-7,-10,,-4.5,1.8,-2
3/13/1978,0.1,-12.5,-3.7,-8.3,,-4.5,5.9,0.1
3/14/1978,0.1,-11,0.2,-5.6,,-2,7,1.1
3/15/1978,,-14.3,0.7,-5,,-0.1,10,4.4
3/16/1978,,-7.2,3.6,-2.1,,1.5,10,4.9
3/17/1978,,-6.6,5.6,0.2,,2.1,11.9,6.7
3/18/1978,,-4.3,5.3,1.1,,2.8,13.6,8.3
3/19/1978,0.2,-4.8,3.2,-1.2,,1.6,10.6,6.2
3/20/1978,,-9.1,7.3,-0.4,,0.3,16.2,8.7
3/21/1978,1,-3,3,0.7,3.6,4.6,10,7.1
3/22/1978,22.1,-4.1,2.7,-0.9,28.8,0.5,7.3,4.4
3/23/1978,0.1,-10.5,3.5,-1.9,,1,12.2,6.6
3/24/1978,,-4.5,6,0.6,,4.7,15.2,9.7
3/25/1978,0,-1.9,6.5,2.1,,7.4,16.4,11.2
3/26/1978,,-0.9,10.8,4.6,,8.2,20.4,13.4
3/27/1978,,-2.8,14.4,6.2,,9.7,22,16.1
3/28/1978,0.8,0.2,6.7,2.2,1.9,2.5,15.1,9.4
3/29/1978,,-3.3,9.5,2.8,,1.4,17.8,9.7
3/30/1978,0.5,-3.1,1.4,-0.5,2.6,3.6,9.5,5.7
3/31/1978,0.4,-3.5,1,-0.3,10.7,1.8,7.2,4.5
4/1/1978,,-4.3,5.7,-0.3,,0.8,12.8,6.4
4/2/1978,2.7,-1.1,9.4,2.8,0.2,3.2,17.9,9.1
4/3/1978,0.8,-2.7,4.5,0.5,6,0.7,9.7,5.1
4/4/1978,,-2.8,9.2,3.6,,6,16.8,11.8
4/5/1978,2.7,2.1,13.7,6.4,4.6,10.4,21.3,15.3
4/6/1978,0.4,-1.7,3.7,1.4,,7.7,11.8,9.8
4/7/1978,,-1.6,11,4.2,,4.2,18.9,11.9
4/8/1978,,1.9,14.7,7.9,,10.9,22.7,16
4/9/1978,,3.6,15.6,9.5,,10,20.4,14.8
4/10/1978,0,-0.1,9,5.4,,7.2,15,11.6
4/11/1978,2.6,0.4,12.4,4.9,4.8,5.6,15.9,9.6
4/12/1978,9.5,-0.1,5.8,2.9,9.6,6.3,9.7,8.2
4/13/1978,0.1,0.4,13.5,5.9,0,6,14.8,9.3
4/14/1978,,6.7,21,14.5,,8.5,28.9,21
4/15/1978,7.6,1.5,18.5,9,5.4,6.7,13.4,9.4
4/16/1978,3.1,1.8,10.2,5.6,1.6,6.8,17.7,11.1
4/17/1978,,0.1,14.5,6.9,,8.7,19.9,14.5
4/18/1978,,1.8,14.6,8.6,,11.4,20.1,14.6
4/19/1978,,4.1,14.5,7.1,,12.8,21.8,16.3
4/20/1978,,-0.5,11.6,5.6,,8,18.4,12.6
4/21/1978,,-1.5,13.8,7.2,,8.8,19.3,14.5
4/22/1978,,-4.5,17.7,7.7,,9.5,20.4,14.8
4/23/1978,,5.9,18.7,11,,11.6,25,18.1
4/24/1978,,4.9,18.4,10.2,,12.8,25.1,18.2
4/25/1978,,-2.2,13.3,5.8,,8.2,18.9,13.5
4/26/1978,,-4.1,18.6,9,,12.8,26,19.2
4/27/1978,,6.2,20.3,12.2,,14.2,27.3,18.7
4/28/1978,0,5.9,16.2,10.9,,12.7,20,16.8
4/29/1978,,2.1,22.2,13.6,,10.7,23.5,16.4
4/30/1978,,11.2,20.5,15.2,,11.5,25.5,16.5
5/1/1978,,5.7,17.1,10.9,,13,23,17.7
5/2/1978,,3.3,17,10.3,,11.8,24.3,18.1
5/3/1978,,1.6,15.4,10.3,,12.2,23.3,17.6
5/4/1978,,4,20.5,12.5,,12.2,27.6,20.6
5/5/1978,,5,13.5,8.9,,11.1,19.7,16.4
5/6/1978,,3.6,14.2,9.4,,8.2,19.7,14
5/7/1978,,-3,18.8,10,,6,22.5,14.3
5/8/1978,,3.8,24.5,15.4,,10.6,26.4,15.9
5/9/1978,,8,18.1,12.6,,15.7,21.8,18.1
5/10/1978,,0.8,18.4,10.7,,12.9,24.7,18.8
5/11/1978,,-2,19.2,12,,11.8,26.7,20.2
5/12/1978,,1.2,23,13.4,,10.4,21.1,16.3
5/13/1978,,7,25.6,17.9,,11.1,30.9,20.6
5/14/1978,,1.8,24,13.8,,17.5,30.2,22.7
5/15/1978,,1.6,23.3,13.9,,18.5,30.4,23.6
5/16/1978,,3.1,19.2,11.9,,12,22.4,17.5
5/17/1978,,2.1,19.5,13.1,,9.9,21.1,15.5
5/18/1978,4.4,8,17.7,11.7,5.3,13.1,17.4,15.2
5/19/1978,12.1,5.2,11.8,9.4,13,12.4,16.6,13.9
5/20/1978,,7,16.7,11.5,0,13.4,25.2,19.9
5/21/1978,,9.7,19.7,13.1,,13.5,22.7,17.5
5/22/1978,,6.7,22.7,16.4,,15.5,23.9,20.6
5/23/1978,,6.4,24.9,17.9,,15.2,27.4,19.9
5/24/1978,0,9.6,18.9,12.6,,14.2,25.4,19.1
5/25/1978,,9.9,26.5,19,,13.5,30.9,21.4
5/26/1978,,7.5,25.9,18.4,,19.6,31.9,26.3
5/27/1978,,13.8,25.3,18.5,,19.6,30.6,24.7
5/28/1978,,11.4,19,14,,16.8,22,19.1
5/29/1978,26.4,5.8,17.4,11.8,15.8,11.1,18.2,15.3
5/30/1978,2.7,0.8,12.4,6.8,2.9,10.5,19.2,13.7
5/31/1978,,0,18.5,10,,12,24,18.6
6/1/1978,,1.2,22.6,13.8,,13.7,28.5,21.5
6/2/1978,,9.8,21.5,14.4,,17.5,26,21.4
6/3/1978,0.6,6.6,17.5,11.8,0.9,13.9,20.7,17.3
6/4/1978,2.8,9.4,15.7,11.7,0.8,14.3,19,16.4
6/5/1978,2.1,9.2,15.6,11.7,0,13.2,23.5,18.7
6/6/1978,2.4,9.4,18.7,12.9,,16.2,24.3,20.4
6/7/1978,,9.2,24,16.3,,15.2,30.2,23.2
6/8/1978,,14.2,25,19.2,,22.7,33.1,27.9
6/9/1978,14,15.4,27.5,19.9,6.2,19.6,33.3,26.9
6/10/1978,4.9,17.2,26.4,20.6,1.9,18.5,26.5,20.6
6/11/1978,0.6,16.9,24.5,20.2,,23.5,32.6,28
6/12/1978,3.9,13.6,22.8,17.6,0.4,17.7,29.8,24.2
6/13/1978,0.7,11.4,16.7,12.5,2.5,15.8,18.7,16.6
6/14/1978,0.1,11.6,18.4,14,0.1,16.1,19.4,17.6
6/15/1978,1,15.6,22.3,17.8,1.5,17.3,25.2,19.7
6/16/1978,,14,25.3,19.8,,21.3,32.1,26
6/17/1978,,13.4,24.3,19.4,,19.7,27.8,22.9
6/18/1978,8.1,14.3,23.2,19,4.9,18.5,26,21.2
6/19/1978,0.6,13.7,26,18.9,0.6,18,31.4,24.4
6/20/1978,5,9,17.9,15.6,4.5,17.7,24.5,21.4
6/21/1978,,7.9,23.6,16.4,,16.3,31.4,23.9
6/22/1978,,12.2,24.1,18,,20,29.9,24.7
6/23/1978,,7.8,26.1,17.6,,19.9,32.3,26.2
6/24/1978,,15.3,27.8,20.3,,23.5,33.8,27.9
6/25/1978,118.2,14.7,19.5,17.2,94.6,18.6,25.8,21.7
6/26/1978,34.9,18.7,22.8,21.1,26.5,18.7,21.8,20
6/27/1978,27.2,15.3,24.2,20.7,15.4,18.8,23.2,20
6/28/1978,,14.1,23.9,19.3,,18.3,26.9,22.5
6/29/1978,28.5,16.6,22.9,19.2,10.1,20.3,26.2,22.2
6/30/1978,36.7,15.8,20,17.7,35.3,19.1,21.3,20
