damcode,Day,Model,Training Method,NSE,KGE,RMSE,PBIAS
1006110,4,transformer,fine,0.5985595810749164,0.6573457863145686,11.625373337342966,4.466369970301174
1006110,5,lstm,nopre,0.46718640743958606,0.6037464214373354,13.393116788661263,17.892839836522278
1006110,5,lstm,onlypre,0.5964806104440565,0.7428410747827572,11.655373953919568,-0.44813464845257794
1006110,5,lstm,fine,0.4864093622743063,0.5104452127434396,13.149297682250499,-30.68789083933369
1006110,5,transformer,nopre,0.19609713567866927,0.6262317818658576,16.45113234561745,2.102690432733936
1006110,5,transformer,onlypre,0.6510980779023748,0.7941431326319331,10.837913715969991,6.372816296216847
1006110,5,transformer,fine,0.6363461309339238,0.6745608063592979,11.064661048808887,0.932501487358653
1006110,6,lstm,nopre,0.47346361979293416,0.5976223979407246,13.314021492901505,19.572018358562858
1006110,6,lstm,onlypre,0.6006019545242712,0.7448104666533305,11.595728267013268,-2.4018778142547723
1006110,6,lstm,fine,0.47129676087382155,0.521499213099869,13.341389009158757,-29.94882198742526
1006110,6,transformer,nopre,0.16236954867146913,0.6135027210054929,16.79272943419728,2.09723183131502
1006110,6,transformer,onlypre,0.6076049852856316,0.6926914592505513,11.493619154993864,-11.47187091605604
1006110,6,transformer,fine,0.6183000292436953,0.6461952443628446,11.335903111255364,7.094888212762411
1006110,7,lstm,nopre,0.4668148945512133,0.5847433215355999,13.39799250391915,20.180984830513463
1006110,7,lstm,onlypre,0.6009912182112263,0.7445860319187204,11.590227299395067,-3.5031143997066536
1006110,7,lstm,fine,0.4410452728052967,0.5310532488051445,13.717944540586046,-28.85239363581505
1006110,7,transformer,nopre,0.05001119161090917,0.5660237967750572,17.883806842023215,6.252133429376668
1006110,7,transformer,onlypre,0.6246366305315201,0.6944038796984515,11.24156226997841,17.008718384053203
1006110,7,transformer,fine,0.6236995662501997,0.6556946352410629,11.255585348890696,8.790254570413763
1012110,1,lstm,nopre,0.7870693855929071,0.8398727454415122,101.0872826722126,4.5489857869731525
1012110,1,lstm,onlypre,0.8264972886358334,0.830799110996992,91.24952277103863,-7.4917012595428565
1012110,1,lstm,fine,0.8122379164333333,0.8805966435349355,94.92517725239554,-4.711731048899604
1012110,1,transformer,nopre,0.7742813191438055,0.7983674514132802,104.07854699486695,-13.850445913378106
1012110,1,transformer,onlypre,0.8057184196104361,0.8652002826718661,96.5591163267172,9.066118477663878
1012110,1,transformer,fine,0.8073891859953143,0.8436329092115626,96.14302935651024,-8.142478184823885
1012110,2,lstm,nopre,0.7982615148564955,0.8778085542229978,98.39432809025423,6.394661021622813
1012110,2,lstm,onlypre,0.8239831552336134,0.9027385404571981,91.9078914272498,0.3679771987764324
1012110,2,lstm,fine,0.814679590388455,0.8953081671001218,94.30556306215132,-4.457599577238103
1012110,2,transformer,nopre,0.8018914637725563,0.6881923075354426,97.50508859425797,-27.685880587364466
1012110,2,transformer,onlypre,0.8248957202977527,0.8939125189589222,91.66933209261472,5.207236862130323
1012110,2,transformer,fine,0.8454347416221978,0.7983195666653934,86.12547473284928,-14.471446448943862
1012110,3,lstm,nopre,0.8173312907232295,0.8767296738516153,93.62533259919604,7.953165532972998
1012110,3,lstm,onlypre,0.8220776060407932,0.8942823831864682,92.40098485656947,3.26298581132239
1012110,3,lstm,fine,0.8397041865941732,0.9138160888509206,87.70460224270383,-2.724169840613606
1012110,3,transformer,nopre,0.8059953265579973,0.7232900550649946,96.48668585753425,-24.592030594456862
1012110,3,transformer,onlypre,0.7932509626133651,0.8739609201293099,99.60543616585429,5.943077735676517
1012110,3,transformer,fine,0.8182442757484187,0.7594655760838297,93.39106806384093,-15.1780159209204
1012110,4,lstm,nopre,0.8273194975694957,0.8708489185124914,91.02997746745979,8.998528389185934
1012110,4,lstm,onlypre,0.8233069018667691,0.8896513840845496,92.08154049398698,4.465647296187796
1012110,4,lstm,fine,0.8430925368891176,0.9168189312540118,86.77299425534255,-1.9797942233967907
1012110,4,transformer,nopre,0.810984461790941,0.813460207443876,95.23827859440127,-14.23381331612955
1012110,4,transformer,onlypre,0.7605474135955288,0.7503023556506562,107.19451153185096,15.905175149813122
1012110,4,transformer,fine,0.8486841644672767,0.8170487920236689,85.21282699365447,-12.473042141122752
1012110,5,lstm,nopre,0.8265596717638123,0.8670681746029789,91.22982846202109,9.117230757796035
1012110,5,lstm,onlypre,0.8216884935244517,0.8899971810409472,92.50208023279653,3.9579856897184316
1012110,5,lstm,fine,0.8438126783916171,0.9163055623906937,86.573445787069,-1.9251230397261903
1012110,5,transformer,nopre,0.8215602545893582,0.818598164842648,92.53533730199835,-9.479403288588621
1012110,5,transformer,onlypre,0.7645721975512478,0.7457115196003727,106.28957959280766,18.34496585708332
1012110,5,transformer,fine,0.83812881145597,0.7847481723376019,88.1346314269918,-16.44148135330449
1012110,6,lstm,nopre,0.8236062165824783,0.8645383679704406,92.00316293499,8.47648638226634
1012110,6,lstm,onlypre,0.8238383046764367,0.8915524007390382,91.94261696045962,3.040900614458806
1012110,6,lstm,fine,0.8447801983954674,0.9160010437066993,86.30474671285857,-2.0218236028162546
1012110,6,transformer,nopre,0.8024997542089557,0.8455197736867599,97.35201399926927,-7.012509073119196
1012110,6,transformer,onlypre,0.800853818807626,0.8974230879746563,97.75683037309278,2.663252828714613
1012110,6,transformer,fine,0.81558877077397,0.8050253907001961,94.07079226738537,-13.688748815813351
1012110,7,lstm,nopre,0.8134964032044739,0.8548401838235357,94.60343089014903,7.098900447045418
1012110,7,lstm,onlypre,0.8251164961898537,0.8901486429968389,91.60890748833802,2.3332408581634834
1012110,7,lstm,fine,0.8529262641429716,0.9210577405962402,84.0099725936057,-1.8070616381953284
1012110,7,transformer,nopre,0.7913994393280892,0.7739808678990374,100.05090391078147,-14.639280304027857
1012110,7,transformer,onlypre,0.7636992407673215,0.8280498511032438,106.4868154613687,12.64383057199787
1012110,7,transformer,fine,0.8270583592478129,0.8228319545656481,91.0988864538634,-12.4683925880343
2001110,1,lstm,nopre,0.678125935080931,0.7548520505154309,44.06596355042294,13.60316509064367
2001110,1,lstm,onlypre,0.42326004990018473,0.6200745760384572,58.986183331123726,18.291969783017745
2001110,1,lstm,fine,0.7076844172994062,0.8263288325214513,41.99390507109465,-2.063887281421452
2001110,1,transformer,nopre,0.7411068406656751,0.7103113957668357,39.52033035042016,20.25078579817156
2001110,1,transformer,onlypre,0.41410382533536194,0.5731945107048111,59.452566830667294,22.474582689842634
2001110,1,transformer,fine,0.6406832958794785,0.7611852977908963,46.55850024236833,14.074971100781953
2001110,2,lstm,nopre,0.6612260076205031,0.7429736719594145,45.20815107490652,13.69140009445169
2001110,2,lstm,onlypre,0.28923175042675686,0.5019284202023897,65.48257125330849,28.845955066081427
2001110,2,lstm,fine,0.6653907772205767,0.8310574885603385,44.92940508352388,0.15474992776742755
2001110,2,transformer,nopre,0.7149281452937164,0.658205291743749,41.47046309899062,22.311686985042297
2001110,2,transformer,onlypre,0.5034137083519892,0.7332095947459814,54.73423818876565,8.251962391289362
2001110,2,transformer,fine,0.6808272999716176,0.6302191465450107,43.88080470449098,-15.795363413006234
2001110,3,lstm,nopre,0.6585292586545908,0.7353071097961521,45.38761226765392,13.891276446803332
2001110,3,lstm,onlypre,0.27363635561236954,0.4486615892255481,66.19689771598169,36.98120864882513
2001110,3,lstm,fine,0.6674693352771743,0.8280568124400504,44.78952303883907,1.7906523560653247
2001110,3,transformer,nopre,0.6467891833854713,0.616514668494885,46.16125258165716,28.11098917376877
2001110,3,transformer,onlypre,0.24889647419313754,0.5561279624574071,67.31478883647094,14.375055021710807
2001110,3,transformer,fine,0.5626713196900599,0.4307919195395522,51.364677685533664,-27.455667797989474
2001110,4,lstm,nopre,0.6544196354499557,0.7316969156466739,45.659635425639514,14.161276255599335
2001110,4,lstm,onlypre,0.2748506294767771,0.4323279619183622,66.14113563700747,39.629915013724336
2001110,4,lstm,fine,0.6682647387958567,0.8257272568116791,44.73564759030703,2.416906678838247
2001110,4,transformer,nopre,0.6765443602879664,0.6029014445456382,44.173852244900935,33.891897827688034
2001110,4,transformer,onlypre,0.15217210055921138,0.39428550555691455,71.51740737411578,27.74826550803587
2001110,4,transformer,fine,0.5928753583296256,0.5674666246536118,49.55889391238657,-17.042678029266128
2001110,5,lstm,nopre,0.6580888902091042,0.7257187543933441,45.41681068575503,13.554901026409064
2001110,5,lstm,onlypre,0.28106720526696116,0.4399567720844165,65.85733833721345,39.24566700828547
2001110,5,lstm,fine,0.6685978328690982,0.8218380952012909,44.7134004427992,1.6895831295128825
2001110,5,transformer,nopre,0.6954338515217383,0.6515453415126464,42.86480404644528,12.564873918014955
2001110,5,transformer,onlypre,0.43192959307941103,0.5678541383657172,58.54113117454953,22.25810338214118
2001110,5,transformer,fine,0.7189752341912731,0.7780524557611079,41.17487831470362,4.456772863007435
2001110,6,lstm,nopre,0.659858403663314,0.7194545309506659,45.29954412713284,13.027807767504601
2001110,6,lstm,onlypre,0.28728509770225163,0.4496170427748243,65.57252064727719,38.48281448363202
2001110,6,lstm,fine,0.6722940159900739,0.8183901819668481,44.46375583734986,0.8522343743677214
2001110,6,transformer,nopre,0.663701043058238,0.6715763464357779,45.042938884229116,4.5919948139975535
2001110,6,transformer,onlypre,0.6640880042114552,0.8232403409259784,45.01701717973825,6.237737631046517
2001110,6,transformer,fine,0.7252994480987989,0.8054410381488325,40.70930843427191,7.2641005233262685
2001110,7,lstm,nopre,0.6620625384526975,0.7180038192095237,45.15403700535755,12.949414370500532
2001110,7,lstm,onlypre,0.289016044449421,0.453387841270969,65.49502556155188,38.11670121011786
2001110,7,lstm,fine,0.6764395265317908,0.8170695663733221,44.18309624779449,0.4688164617100795
2001110,7,transformer,nopre,0.5139921392564097,0.5841688009829873,54.15019970539481,16.676755562631428
2001110,7,transformer,onlypre,0.5783615903939693,0.6968455210946973,50.43691316673467,22.42459980375971
2001110,7,transformer,fine,0.7224581599511839,0.7855369812972727,40.92066166851803,15.513114422189688
2002110,1,lstm,nopre,0.31732411892815504,0.512322595119223,64.31909162927793,-5.298950206621062
2002110,1,lstm,onlypre,0.0025834115424250292,0.2228588694207424,77.7447221854957,56.53239143678214
2002110,1,lstm,fine,0.26899169130580836,0.3769878431673548,66.55700626447805,11.263534996881148
2002110,1,transformer,nopre,0.2967387472077193,0.25690763129698346,65.28162667306799,-47.36100581559463
2002110,1,transformer,onlypre,0.21783838208998274,0.33337826572024254,68.84634245746322,53.66880218708246
2002110,1,transformer,fine,0.39174346951241523,0.46058027985556305,60.7122059063502,3.6434849261318636
2002110,2,lstm,nopre,0.26134702960568934,0.4521220206888761,66.90409354040335,0.3775502569863239
2002110,2,lstm,onlypre,-0.07572547449028066,0.18759962429048227,80.73896788130968,60.5366887636117
2002110,2,lstm,fine,0.2269303213601327,0.38083303354872167,68.445009248458,12.808168138187407
2002110,2,transformer,nopre,0.2629911888158324,0.47709564620293277,66.82959153018665,-13.17968199711057
2002110,2,transformer,onlypre,0.26859781937297567,0.3820164288761255,66.5749106239557,39.93818053036475
2002110,2,transformer,fine,0.38612531531085204,0.4818584297934536,60.991923330889,20.876710582264646
2002110,3,lstm,nopre,0.2674418507440075,0.45886153682176956,66.62742049153117,3.0435994805118756
2002110,3,lstm,onlypre,-0.060751767060666984,0.1436176737250816,80.17497435213237,66.66930184033671
2002110,3,lstm,fine,0.23597993201758372,0.3769444728897363,68.0431374708781,12.912309186008228
2002110,3,transformer,nopre,0.24410400744646854,0.28786500014285643,67.68040816415795,-36.16444180573734
2002110,3,transformer,onlypre,0.19929968926379982,0.3633832049964153,69.65734965125847,39.87686017253721
2002110,3,transformer,fine,0.3209355157436615,0.43008458587101894,64.14864041277211,3.7258769689697053
2002110,4,lstm,nopre,0.28970913708241386,0.46751339608090015,65.60695868800433,3.531977732195613
2002110,4,lstm,onlypre,-0.03455873445816571,0.13810200305123776,79.17888243994337,67.85293809131045
2002110,4,lstm,fine,0.24437602240945844,0.37911374720950464,67.66820512305387,13.146233394159603
2002110,4,transformer,nopre,0.23310675024223193,0.3477804372830794,68.1709348060104,-24.056553084023285
2002110,4,transformer,onlypre,0.2415935941712214,0.27804918139745427,67.7926776923932,61.36702416156568
2002110,4,transformer,fine,0.35837545009044014,0.4211314692693323,62.35514279915841,5.967632663240716
2002110,5,lstm,nopre,0.2598020947361346,0.4418583148638575,66.97408360871235,2.4894916363092525
2002110,5,lstm,onlypre,-0.018792436909081722,0.14708690589001827,78.57342968225286,66.54151229096526
2002110,5,lstm,fine,0.24029313234550154,0.37350447080811755,67.8509418111323,12.22570597036879
2002110,5,transformer,nopre,0.15471237736792653,0.3860865488134637,71.57067430936269,-12.43689425745539
2002110,5,transformer,onlypre,0.2409498332344513,0.312546820591461,67.82160983524093,55.91743025805905
2002110,5,transformer,fine,0.33583933953768286,0.43281333035284597,63.44091352971876,13.425080850123948
2002110,6,lstm,nopre,0.2815092094081506,0.4376249508085339,65.98465313968244,0.8472403111869407
2002110,6,lstm,onlypre,-0.003672059861441479,0.15847180529068572,77.98808428961348,65.09849510472093
2002110,6,lstm,fine,0.25044035897696826,0.3736279527689821,67.39620342000077,11.052909248808183
2002110,6,transformer,nopre,0.25740652483265103,0.2982234845341969,67.08229306961731,-24.97446650483407
2002110,6,transformer,onlypre,0.32002206059552163,0.4301162998870254,64.19182849928163,30.767021092359073
2002110,6,transformer,fine,0.33317156669053705,0.3931372899536938,63.568123289357175,-1.9723769121915495
2002110,7,lstm,nopre,0.2834320048753015,0.43335142054041886,65.89646245957981,0.44189524560332955
2002110,7,lstm,onlypre,-0.004783930380926504,0.1632402162837927,78.03146089112927,64.14672303967393
2002110,7,lstm,fine,0.2522170621373877,0.3698075175588905,67.3164450832747,10.31118240173383
2002110,7,transformer,nopre,0.22556043924246372,0.2707874896544532,68.50577161917329,-25.62013740255129
2002110,7,transformer,onlypre,0.20746928216249272,0.31375218646764835,69.30131084983157,48.43636559781844
2002110,7,transformer,fine,0.3378624854775185,0.3449138358773173,63.34429318906635,-18.68574955297304
2015110,1,lstm,nopre,0.7644684303546968,0.8812802976101459,38.34755487457335,-1.5850102323333497
2015110,1,lstm,onlypre,0.8192210370288976,0.7951366307405116,33.59596033133307,14.886666182995839
2015110,1,lstm,fine,0.7326945855691649,0.6352218721602256,40.85234513119995,-7.211381423716859
2015110,1,transformer,nopre,0.6705949776852559,0.822970163619572,45.35009724039671,3.2359462863308988
2015110,1,transformer,onlypre,0.7830440596103765,0.677264454851894,36.8043275658877,30.365479971188133
2015110,1,transformer,fine,0.6051138324639046,0.5529566336695457,49.65340948343645,-8.926633304219319
2015110,2,lstm,nopre,0.778570910787941,0.8749172279629915,37.18195808806524,5.904189276086145
2015110,2,lstm,onlypre,0.8044281556560888,0.8012933859375647,34.943635443109905,14.33098252182653
2015110,2,lstm,fine,0.7601275897527174,0.6652283978067453,38.69947466462136,-8.512736527525746
2015110,2,transformer,nopre,0.5050240793020808,0.7545239347000003,55.59131614112336,-5.436102810432988
2015110,2,transformer,onlypre,0.8214561063709992,0.7685675556675162,33.387770599500996,21.08800978707606
2015110,2,transformer,fine,0.8004003890422235,0.7349019248194313,35.30163053846955,3.9289816236260298
2015110,3,lstm,nopre,0.7897176865442574,0.851023759464338,36.23413724313276,10.153640524698336
2015110,3,lstm,onlypre,0.8009256219491945,0.7527956490771541,35.2552854678618,20.380661364409463
2015110,3,lstm,fine,0.7615950977067873,0.6713358487082148,38.5810588451239,-6.856327794446741
2015110,3,transformer,nopre,0.6338263161924365,0.7497858103259161,47.814554795497656,-15.640031033231095
2015110,3,transformer,onlypre,0.779036002210931,0.6787031646264513,37.14302846819304,30.176844355300343
2015110,3,transformer,fine,0.8014003726017671,0.7771497393761508,35.21322214283225,4.58286638790693
2015110,4,lstm,nopre,0.7816179786110891,0.8415231708575598,36.92565755502791,11.183207410097312
2015110,4,lstm,onlypre,0.8098215182265404,0.737325173067687,34.45882662543171,22.717814331324053
2015110,4,lstm,fine,0.7655888966500041,0.6775534579451703,38.25682166702134,-5.932445925200323
2015110,4,transformer,nopre,0.7253017927312577,0.6829632308224114,41.414050576762904,-27.029692687919038
2015110,4,transformer,onlypre,0.734428348732159,0.5969074070743567,40.72027046576873,36.99231848574933
2015110,4,transformer,fine,0.8195926612439774,0.8034760073055083,33.56192766559846,5.355034452059785
2015110,5,lstm,nopre,0.7843188696262713,0.8428884560446118,36.69665676075927,11.226251535427052
2015110,5,lstm,onlypre,0.8092450232515893,0.7399500889028952,34.51106510357132,22.236491510310323
2015110,5,lstm,fine,0.7637633000117883,0.6732011538937062,38.405560521285864,-6.622801163789331
2015110,5,transformer,nopre,0.71314391627354,0.6217676823785719,42.32066241310739,-32.84703497649909
2015110,5,transformer,onlypre,0.7485548758323793,0.5719959145307938,39.62251454898988,39.4208177630511
2015110,5,transformer,fine,0.8195351820885588,0.7456178845228661,33.56732226875874,-3.5194676578841415
2015110,6,lstm,nopre,0.7943840273276903,0.8508109468727914,35.830317249202295,10.73291284101393
2015110,6,lstm,onlypre,0.8077476834332551,0.7461898372088984,34.64639241733811,21.33480334226323
2015110,6,lstm,fine,0.7628923354881947,0.6695832683665801,38.47645268275344,-7.426727707085354
2015110,6,transformer,nopre,0.7334339947046828,0.6082927110079833,40.7966601926021,-33.92774873416999
2015110,6,transformer,onlypre,0.8127492970890757,0.731386569279667,34.19274422393337,15.712666674597926
2015110,6,transformer,fine,0.8447121197488294,0.8008161403421904,31.13802120762859,5.864523063327516
2015110,7,lstm,nopre,0.8035177019910158,0.8595369787299789,35.02575033829403,10.019346150143273
2015110,7,lstm,onlypre,0.8071179025791131,0.7510455397568163,34.703373406641035,20.657649186920434
2015110,7,lstm,fine,0.7649864772722496,0.6683608364029436,38.30647234124958,-7.9580276674193415
2015110,7,transformer,nopre,0.6577291924055944,0.6965577929486462,46.228591667765016,-25.296780611479736
2015110,7,transformer,onlypre,0.8055959776546046,0.5910586677515584,34.840016862472794,39.38065398564463
2015110,7,transformer,fine,0.8214729036685006,0.811795994988478,33.38703127747088,0.8156247177606318
2018110,1,lstm,nopre,0.7347353961770848,0.8566866657929568,118.60023554485184,1.940373425672131
2018110,1,lstm,onlypre,0.7069778155391616,0.8048303312851206,124.65111023152787,12.448613700049286
2018110,1,lstm,fine,0.7436008726102935,0.816514532930307,116.60150918103889,11.246904995470233
2018110,1,transformer,nopre,0.6914937998832322,0.6086020339943832,127.90215104061822,-32.68428706009573
2018110,1,transformer,onlypre,0.529724368638774,0.4770738337909004,157.91454660743608,42.800421546422555
2018110,1,transformer,fine,0.7257670675915755,0.8619349496265831,120.58844751613297,-1.3210151860508341
2018110,2,lstm,nopre,0.6890490014650237,0.8394529269207225,128.4084941456293,2.7759994187741044
2018110,2,lstm,onlypre,0.701477178379116,0.7797469548255268,125.81619418394395,16.362217698071106
2018110,2,lstm,fine,0.750580456571122,0.8127667316246029,115.00401829374584,13.828937420514755
2018110,2,transformer,nopre,0.6723096830981886,0.7802705222280905,131.8194755068948,-13.944004313413355
2018110,2,transformer,onlypre,0.5634312003115143,0.470444184489042,152.15075875770344,45.385358124260655
2018110,2,transformer,fine,0.6718688074239969,0.8243768289577933,131.90812088777938,2.9909217929499
2018110,3,lstm,nopre,0.6853486262641639,0.8397807353559239,129.17068470108674,2.8125666699667464
2018110,3,lstm,onlypre,0.6941634611175992,0.7641713500538969,127.34849905174597,18.193611750376792
2018110,3,lstm,fine,0.7352836396331974,0.7790905116326339,118.4784972528393,17.69150248821417
2018110,3,transformer,nopre,0.7252773187667444,0.7481422810134639,120.69698005738755,-18.71751477897266
2018110,3,transformer,onlypre,0.4718585107535932,0.35279200415628786,167.34944964364905,53.894334825783154
2018110,3,transformer,fine,0.7773603819579818,0.8169337815398829,108.65516351590225,-6.6563364770225215
2018110,4,lstm,nopre,0.679784694622868,0.8375677244945811,130.30855170298594,1.9488950614767486
2018110,4,lstm,onlypre,0.6906732194200015,0.7523148770536894,128.07390032896006,19.596500359953776
2018110,4,lstm,fine,0.7280967116950091,0.764759387020209,120.07679976490033,19.21193774087671
2018110,4,transformer,nopre,0.7332698240579882,0.7556761682542008,118.92905021711776,-17.375147900249583
2018110,4,transformer,onlypre,0.3360740716183215,0.16065992026476295,187.63406593625015,70.57582061460461
2018110,4,transformer,fine,0.7675273019611808,0.8648460543028045,111.02936419211561,-1.2656448647255838
2018110,5,lstm,nopre,0.6733367454578947,0.8344563116363957,131.6145641392182,1.3254151949855089
2018110,5,lstm,onlypre,0.6918973682588854,0.7592503557629942,127.82079416967811,18.77335559070954
2018110,5,lstm,fine,0.7265972022158433,0.7674279939110437,120.40798393828359,18.69978084064847
2018110,5,transformer,nopre,0.7361657922892522,0.6921591575040044,118.28219069489971,-20.88210798249095
2018110,5,transformer,onlypre,0.5144754620597748,0.3159290115970068,160.45727017855958,61.41492371255058
2018110,5,transformer,fine,0.7413233047600358,0.8003208626373761,117.12037642251669,-1.1261154591911928
2018110,6,lstm,nopre,0.6709494471705202,0.8329904231920808,132.0951545936782,0.6877253315193946
2018110,6,lstm,onlypre,0.6938640159416651,0.7670944144867701,127.41271364921498,17.82367923332171
2018110,6,lstm,fine,0.7272520522250145,0.7720316311109481,120.26418730512898,18.028576897971696
2018110,6,transformer,nopre,0.7376178747120529,0.6290521539010746,117.95672275252534,-30.70980705930702
2018110,6,transformer,onlypre,0.6377973748834171,0.5818314975804322,138.58983313925216,37.85724331687666
