date,inflow_avg,inflow_min,inflow_max
1990-06,269.29,26.20,1585.30
1990-07,385.08,87.50,2719.60
1990-08,75.86,14.00,404.20
1990-09,574.70,24.00,7062.60
1990-10,17.13,2.30,31.00
1990-11,15.87,3.30,35.40
1990-12,11.44,1.90,30.20
1991-01,5.91,2.00,13.80
1991-02,5.86,0.60,17.20
1991-03,30.40,4.40,96.50
1991-04,59.41,27.50,145.70
1991-05,37.92,2.10,235.10
1991-06,17.68,2.60,42.90
1991-07,270.60,5.30,2443.00
1991-08,133.12,18.10,692.90
1991-09,78.31,16.60,471.50
1991-10,21.25,5.10,49.70
1991-11,9.92,3.10,15.20
1991-12,13.15,2.10,29.10
1992-01,10.44,4.60,17.10
1992-02,18.02,2.70,285.50
1992-03,71.23,31.40,411.70
1992-04,93.06,37.60,284.90
1992-05,92.44,26.00,660.80
1992-06,27.28,2.00,72.50
1992-07,55.80,8.80,254.60
1992-08,252.08,9.40,1361.00
1992-09,74.79,17.00,327.80
1992-10,28.30,5.70,63.70
1992-11,32.09,6.50,101.80
1992-12,31.97,10.70,59.30
1993-01,14.61,4.20,25.90
1993-02,22.83,4.10,52.40
1993-03,39.20,13.30,80.80
1993-04,70.06,25.10,207.10
1993-05,140.74,23.90,1017.40
1993-06,96.86,25.80,290.40
1993-07,176.61,24.00,841.00
1993-08,211.85,51.50,1232.30
1993-09,31.17,10.50,134.40
1993-10,9.88,1.50,23.90
1993-11,13.71,5.10,39.60
1993-12,6.97,2.00,18.90
1994-01,5.29,0.40,15.70
1994-02,3.27,0.80,7.90
1994-03,5.10,0.60,13.20
1994-04,25.85,8.20,102.50
1994-05,37.12,7.00,112.60
1994-06,19.97,3.30,68.30
1994-07,113.00,7.30,664.90
1994-08,61.34,13.30,304.20
1994-09,26.93,6.90,76.70
1994-10,73.28,4.10,382.20
1994-11,33.35,15.40,92.00
1994-12,15.98,6.50,29.80
1995-01,7.10,2.00,14.00
1995-02,5.56,1.10,9.70
1995-03,18.15,3.20,42.70
1995-04,39.77,20.90,105.60
1995-05,19.04,8.00,38.70
1995-06,14.15,3.30,42.20
1995-07,233.80,8.20,1745.50
1995-08,703.07,82.90,4029.40
1995-09,55.59,16.00,169.50
1995-10,14.97,5.10,26.70
1995-11,14.97,3.50,26.90
1995-12,6.44,0.20,19.20
1996-01,4.87,0.00,14.60
1996-02,3.30,1.00,9.40
1996-03,15.72,1.00,130.80
1996-04,32.39,11.50,71.70
1996-05,30.70,1.80,110.40
